Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,600360,华微电子,吉林华微电子股份有限公司,"Jilin Sino-microelectronics Co., Ltd.",5,工业,C51,电子元器件制造业,C39,计算机、通信和其他电子设备制造业,1999/10/21,2001/3/16,2001/3/16,CNY,7.42,8.42,CNY,50000,CNY,2001/2/20,1,1,A,,2017/4/27,,1
10,600361,华联综超,北京华联综合超市股份有限公司,"Beijing Hualian Hypermarket Co., Ltd.",6,商业,H11,零售业,F52,零售业,1996/6/7,2001/11/29,2001/11/29,CNY,6.9,7.9,CNY,50000,CNY,2001/11/6,1,1,A,,2017/4/27,,1
10,600362,江西铜业,江西铜业股份有限公司,"JIANGXI COPPER CO., LTD.",5,工业,C67,有色金属冶炼及压延加工业,C32,有色金属冶炼及压延加工业,1997/1/24,2002/1/11,2002/1/11,CNY,1.27,2.27,CNY,230000,CNY,2001/12/21,1,1,A,,2017/4/27,358,1
10,600363,联创光电,江西联创光电科技股份有限公司,"JIANGXI LIANCHUANG OPTOELECTRONIC SCIENCE AND TECHNOLOGY CO., LTD.",5,工业,C51,电子元器件制造业,C39,计算机、通信和其他电子设备制造业,1999/6/30,2001/3/29,2001/3/29,CNY,5.66,6.66,CNY,60000,CNY,2001/3/9,1,1,A,,2017/4/27,,1
10,600365,通葡股份,通化葡萄酒股份有限公司,"Tonghua Grape Wine Co., Ltd.",5,工业,C05,饮料制造业,C15,酒、饮料和精制茶制造业,1999/1/27,2001/1/15,2001/1/15,CNY,6.08,7.08,CNY,60000,CNY,2000/12/15,1,1,A,,2017/4/27,,1
10,600366,宁波韵升,宁波韵升股份有限公司,"Ningbo Yunsheng Co., Ltd.",5,工业,C51,电子元器件制造业,C39,计算机、通信和其他电子设备制造业,1994/6/30,2000/10/30,2000/10/30,CNY,9.37,10.37,CNY,35000,CNY,2000/10/12,1,1,A,,2017/4/27,,1
10,600367,红星发展,贵州红星发展股份有限公司,"GUIZHOU REDSTAR DEVELOPING CO., LTD.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1999/5/2,2001/3/20,2001/3/20,CNY,11.66,12.66,CNY,30000,CNY,2001/2/6,1,1,A,,2017/4/27,,1
10,600368,五洲交通,广西五洲交通股份有限公司,"Guangxi Wuzhou Communications Co.,Ltd.",2,公用事业,F03,公路运输业,G54,道路运输业,1992/12/31,2000/12/21,2000/12/21,CNY,4.48,5.48,CNY,80000,CNY,2000/12/1,1,1,A,,2017/4/27,,1
10,600369,西南证券,西南证券股份有限公司,"Southwest Securities Co., Ltd.",1,金融,I21,证券、期货业,J67,资本市场服务,1993/12/30,2001/1/9,2001/1/9,CNY,5.18,6.18,CNY,70000,CNY,2000/12/21,1,1,A,,2017/4/27,,1
10,600370,三房巷,江苏三房巷实业股份有限公司,"Jiangsu Sanfangxiang Industry Co., Ltd.",5,工业,C11,纺织业,C17,纺织业,1994/6/13,2003/3/6,2003/3/6,CNY,6.62,7.62,CNY,55000,CNY,2003/2/19,1,1,A,,2017/4/27,,1
10,600371,万向德农,万向德农股份有限公司,"Wanxiang Doneed Co., Ltd.",4,综合,A01,农业,A01,农业,1995/9/13,2002/9/16,2002/9/16,CNY,2.47,3.47,CNY,40000,CNY,2002/8/29,1,1,A,,2017/4/27,,1
10,600372,中航电子,中航航空电子系统股份有限公司,"CHINA AVIONICS SYSTEMS CO.,LTD.",5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,1999/11/26,2001/7/6,2001/7/6,CNY,6.28,7.28,CNY,110000,CNY,2001/6/20,1,1,A,,2017/5/19,,1
10,600373,中文传媒,中文天地出版传媒股份有限公司,"Chinese Universe Publishing and Media Co., Ltd.",2,公用事业,L01,出版业,R85,新闻和出版业,1998/11/30,2002/3/4,2002/3/4,CNY,1.68,2.68,CNY,45000,CNY,2002/2/4,1,1,A,,2017/4/27,,1
10,600375,华菱星马,华菱星马汽车(集团)股份有限公司,"Hualing Xingma Automobile (Group) Co., Ltd.",5,工业,C7505,汽车制造业,C36,汽车制造业,1999/12/12,2003/4/1,2003/4/1,CNY,8.9,9.9,CNY,30000,CNY,2003/3/17,1,1,A,,2017/8/8,,1
