,Trddt,const,beta,BP,earningsfactor,leveragefactor,RSTR,Non-Linear Size,residualvolatilityfactor,Size,A01,A02,A03,A04,A05,B06,B07,B08,B09,B10,B11,C13,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,D44,D45,D46,E47,E48,E49,E50,F51,F52,G53,G54,G55,G56,G57,G58,G59,G60,H61,H62,I63,I64,I65,J66,J67,J68,J69,K70,L71,L72,M73,M74,N77,N78,P82,Q83,R85,R86,R87,R88,S90,num
0,2013-04-01,-0.021555118333645366,0.00034765431449393337,-0.0009414413191176775,-0.005748106991049346,-0.0004336466318884684,0.0006183563081331011,-0.011612235374941528,-0.0032924473397511534,0.01729873333899213,-0.02608263732380936,1.0558416249898724e-16,-0.028580384211409446,-0.03173282508564474,-0.048249081293983934,-0.048648050797850666,-0.03826728806993905,0.1314593358662396,-0.06447679396111566,-2.207011876923083e-17,-0.04291682166079248,0.01926806262358547,-0.052715019293710905,-0.001654963316391016,-0.005495038661286288,-0.06668413678884091,-0.008384568840962302,0.024794097441919804,-0.024493385730129325,0.0008392011777341099,-0.001513959370006878,0.12715580224271014,-0.02966925148043612,-0.010530939984795333,-0.02792935968646651,-0.029800774040443047,-0.006123372621531933,0.017727179115091564,0.0030026086635758275,-0.031851063907543345,0.009750656809263111,-0.04333987188742264,-0.022708675086199545,0.07053242372832767,-0.016731076921964724,0.008795384816888473,0.014167119456357317,-0.046192100004996337,-0.04364129268813044,-1.1247596663626406e-16,-0.036374418056528045,-0.02043751575620453,-0.032908249181142435,-9.26636695082921e-18,0.016789536795840936,-1.615060080287411e-17,0.07798545616040722,-0.00045886319374080584,-0.032777365692172766,-0.04593356626564841,-0.0007390268515841117,-0.003984383909337633,-0.0055346823419319124,6.810833484693022e-18,-0.03309320584837766,0.0009331234987395264,-0.12941885604573206,-0.054847687694420305,-0.06248738961946991,0.048329540206041306,0.16214502127618496,0.020152529918818343,0.0033714600058365567,0.048343728291933216,-0.02139534589399928,0.2127203863659481,0.037638693315917376,0.07972546718924083,0.042577407851513246,-9.785004690042507e-36,0.00684743175371307,0.010346610685560071,-0.018800723740632387,0.0,-0.036418978802280746,0.000743649236552347,0.13314489424415718,-0.034969684045953936,0.0,0.018150748583216445,1410
1,2013-05-01,0.1492898798524122,0.003747113217894547,-0.01753155511401874,-0.0023414871480791194,-0.000456083567531952,0.007814484104435929,-0.06702641775159857,0.004270256346409682,0.04138207648302466,-0.010024441299954077,2.7786924493336004e-16,0.031048177044309875,-0.11204619064946128,-0.11168346224844827,-0.06702471559756588,-0.05005065834993832,-0.04472979893255034,-0.06457504849159725,-3.7924624847758723e-16,0.06930669595232136,-0.040602118778950126,-0.0788296444093449,0.008456521170422069,-0.023638670072974228,-0.028322814151520628,-0.07547483924226535,-0.0823798469490569,-0.0021464330719429964,-0.012036507792890332,0.023485370727697408,0.007841958097385984,0.012763694519529863,-0.05315314193193038,-0.021714806651112785,-0.020354871149832608,-0.024232542066899104,-0.025956488907507416,-0.03390331573713252,-0.05560088527438292,0.004819476488236947,0.03533871669451296,-0.019258767894220038,0.040337140509096245,0.057499444484832164,0.022672137673522073,0.03673729960669346,0.04681213511679149,-0.09118062519382948,0.16596431641288784,-0.010284623833204576,-0.020462972729002674,0.0001008285274445922,-5.6480206656288284e-18,0.042972693373105254,1.8907591548744187e-17,0.059140753603533325,-0.009590217876612387,-0.021583091312785484,-0.058479054947868564,-0.027266019425021652,-0.035714660000727524,-0.026537201258913026,-5.264587396742259e-19,0.17996303493285612,0.18349145276256112,0.03605442283786339,0.005038836223388871,-0.017538579762011817,0.06238438289316286,0.08191981014854868,0.04001707378295022,-0.02324190526911324,-0.013739670518598195,-0.08509339763537502,0.06209051183108352,0.020953451979242727,-0.04610255596672001,-0.011465072281981431,1.0572420112656829e-17,0.016919596597604225,0.1402701897354538,0.008063711497165185,0.0,0.014057346909814111,-0.019319731199472587,0.20833962980975518,-0.06914412207058322,0.0,0.0689125788419408,1520
2,2013-06-01,-0.15120240233793597,-0.01868383072196084,-0.0170490483101933,-0.0037061618657831252,0.0014098864290225097,0.008720994110389419,-0.0077007069387652685,-0.02108127438781674,0.024099925425456976,-0.07498299204249857,-9.302216303365809e-17,-0.08614587898865808,-0.04967931659820541,-0.06357102712132016,-0.0656364356322599,-0.03429045438804994,-0.0678340336763903,-0.12407837588355827,-3.719884129023778e-17,0.012176762514106283,-0.034956454860096395,0.09712048062223251,0.02858490176845857,0.005527111768816168,-0.028526757917224015,-0.005984548856855981,0.029770147336964203,-0.026728546375202875,0.009372828531619873,0.01751843761621924,0.2721261872536295,0.2849817622271303,-0.027224374573008123,-0.008327128134346188,0.05878693614959943,0.03187525560479602,-0.016331037269477894,-0.022939867870875034,-0.07915588112757249,-0.004270600125432935,0.023786222577172517,-0.031648837200425425,-0.01843216681811458,-0.05922234921300927,0.014368485719089368,0.03185670521042246,0.07256545854199804,-0.021819609139344946,-0.058741227558729826,-0.008814359480599564,0.025078932181535594,-0.08013767444988641,-1.4968838974829447e-16,-0.010573708280516965,1.1552801681800316e-16,0.043473733872026625,-0.00487715282342548,-0.008268855698130271,-0.011357930709400332,0.030766494986299173,-0.02707647418425018,-0.031810249026159546,-1.0180014172770272e-17,-0.11452261535457739,-0.059974326537142006,-0.08432411752966824,0.04453882317248013,-0.11388201804054962,0.07735569887690341,0.18123484961663308,0.06184324749752449,0.045021281251138884,-0.08162938073044593,-0.04121136443006152,-0.08742174564614523,-0.004123827150654404,0.0775164963939672,0.024814585726973835,1.0015499242410272e-18,-0.057372471308408675,-0.008466622760425379,-0.04178779084041648,0.0,0.004636242829220885,0.14056626079243684,0.022551734851572993,-0.023326908004360707,0.0,-0.00953097347302376,1576
3,2013-07-01,0.07733602950242441,-0.001160417314367987,0.006838765243045351,-0.001283253420916812,-0.011791168336519242,-0.002692311902396564,0.0047257633713964796,-0.010450439625031904,-0.01575761697113633,-0.04366936028075407,2.7563555214350827e-16,0.008446680994305164,-0.09547216065834567,-0.005515118667880271,-0.057556314912635624,0.004845705444624565,-0.08328660217980313,-0.010609330096401361,1.0868338817204801e-16,0.04148449974753447,-0.027597150524566603,0.07019621790015751,-0.09818698340483127,-0.06146231462325606,-0.0522997868048548,0.011342880915093237,-0.03699149484299136,-0.10544442685590928,0.05549248206764978,0.21711192695937076,0.15632018196498684,-0.0800844561340981,-0.008488764132390783,0.0460183901694975,-0.0030028807043596673,-0.018776851405824226,-0.023424268166453675,-0.08383905852107176,-0.022342242252802205,-0.014953307113535926,0.01563871249655184,-0.03179701472760122,-0.07475058093496578,0.027232834288611084,-0.009960944663830134,0.029780744968573164,-0.01282614809918221,0.0034226025694289383,0.17394854038338753,-0.0337062881162382,-0.08359793558235888,0.02108068900659893,-1.3262827632109181e-17,-0.03532610950826394,-9.793543636661975e-17,-0.1555870819395762,0.03613552184954492,-0.03844729188344076,-0.04200671911593171,-0.0819817960619803,-0.06098684679974361,-0.10167248688190661,7.499938100603175e-17,0.0031558912882722195,0.03335430363647239,-0.020399432034158293,0.015310072174150938,0.007972199604659704,0.009097436510364357,0.10089845227378472,0.09084355651862612,-0.09227339450550583,0.0035785733409869963,-0.08490020845804126,-0.02846921938220219,-0.03128732433475812,0.046727486964198,0.0327499995554799,-4.676853495377582e-17,0.00706413665287621,0.09917153130672918,0.04412611538565396,0.0,0.06194683064043139,0.042665947914624455,0.28475222918863813,0.21806404456072115,0.0,0.010338305572290193,1621
4,2013-08-01,0.09726787438432148,0.010729263360109147,0.006105980988310449,-0.006428919515299251,-0.0006435698682983214,-0.023645705240063042,0.0483893962639935,0.002774704471060485,-0.05440172617005678,-0.0226653264835317,2.2170611068555522e-16,-0.02570706961982893,0.04910287507865524,-0.049414530316750374,-0.031169996762869825,-0.06307869704303642,-0.049334071645790095,-0.019749220130991212,7.380280158029996e-17,-0.018451360807439005,-0.06190363573209802,0.0005736633633891541,-0.06607824460478508,-0.03183173314401376,-0.025351715936436862,0.04425489671561688,-0.06164148007333514,0.045101811953210905,-0.05297807984971621,0.10311725971278832,-0.0895930022937058,-0.06703231417196803,-0.016563759609485203,-0.059852709570872534,0.009044736166754731,-0.05858423930881469,-0.04523432650902342,-0.05307528234145072,-0.008432592176747952,-0.009931786518700945,-0.03086830175218578,-0.048104402094455725,0.02052942568654087,-0.05098054591138582,-0.010349401522820259,0.00806335556747565,-0.06897082091244751,0.0380713931333625,-0.09016978976333354,-0.0551880180871252,-0.012719164889699569,-0.08755610845230795,2.8285856662307785e-17,-0.08472598047910092,-6.485175603687309e-17,-0.01560034682020044,0.12471753640562244,0.06085356355421396,0.04374192706200723,0.11765284021962637,0.4358784936149006,0.039665912648194274,4.892527752628915e-17,0.10788938258910705,0.19855482377367645,-0.04693579622768882,0.20087859982278713,-0.0809061868910836,-0.06314371457475265,0.08629556529530756,0.053784494767463206,-0.020497631045667646,-0.07876176123390498,-0.02086847586510231,0.23274930057741944,0.01848337090622669,0.06846256017556099,0.034542452850398704,-2.1827409606691492e-17,-0.0052625227255517736,-0.15613698543127946,-0.03121020626432857,0.0,-0.0018833836383452332,-0.019524219460502385,0.08229192616396513,-0.10996022005193903,0.0,0.050944865326649845,1662
5,2013-09-01,0.0768294134537316,0.0002251028945904033,0.015063137311272744,-0.01709602353485619,0.02345776038234164,0.04271995549362452,-0.01143959789089595,0.02259091382273076,0.022360107475572183,0.36186887380217986,4.810413202209813e-17,-0.0009853871462122549,-0.07821779064860743,-0.07939416131762529,-0.07827258346482854,-0.052786800355293165,-0.09686124765912646,-0.12094260135557883,1.5573787369020354e-16,-0.02727985312209833,0.12713375905109117,0.11790270351599362,-0.10704443099458001,-0.027963402625272277,0.09909946231379971,-0.04544728172893803,-0.0137767457534851,0.11677940834604045,-0.03710386583811552,0.008849580188021962,0.13877930777680547,-0.09069851232592825,-0.06247127572059334,-0.004148473274250868,-0.07518027361719369,-0.027086796128589382,-0.06275789633485108,-0.09282048617136696,-0.09290763848969899,-0.01612833581448881,-0.014990142055269341,-0.0048150442650296095,-0.024018557110540482,-0.10064730922019624,-0.002808530862834464,-0.043496804717274615,0.06589575304560358,0.028828243446906227,-0.13075172159554294,-0.0744429225116939,-0.04991026374985863,-0.0815118408065283,-8.502463791712669e-17,-0.07444792455103842,1.5937046820160306e-16,-0.11569824938223006,0.3569005426259165,0.23338789041333668,0.027578184117842287,-0.045139935089086244,-0.1104945883275404,-0.08405796661909877,2.4429915230500186e-17,-0.16719323361667382,-0.11497306633093915,-0.04093364752908389,-0.09953004785236078,0.14921198934056729,0.18481451737986576,0.06374914890267444,-0.006497474058385397,0.01583003094948389,-0.039163471619681076,-0.036175206667097407,-0.007542750661443179,-0.11493875740720146,-0.015053445401829749,0.11507829488866356,-5.408756518882644e-18,-0.009667676474468617,-0.058165522606791725,0.12156696485123569,0.0,0.04139751720159023,0.2152355075375987,0.2915682684714538,0.1897847108623259,0.0,-0.03706930459882475,1699
6,2013-10-01,-0.011897728790500816,-0.0052597352712924605,0.006403639402680903,0.014870114706339137,-0.0020792817824649605,-0.015380460364065266,0.04045856251466177,-0.0015906000078583977,-0.050134586063664055,0.11730580487634384,-9.396255511190772e-17,-0.013367671652203095,0.07864822656236116,-0.07721547157484764,-0.04804765818174698,0.017655506451236862,-0.04923749340303607,-0.06180471784915974,-1.289454642079909e-16,0.20199118273649896,0.035476927905435045,0.0007565442792251916,-0.0407160254895567,-0.004400914391799524,0.00981576977777627,-0.0279931200649242,0.006875358622829896,0.04572625540769292,0.011468302757403171,-0.03782686607495755,-0.029404525917839968,0.017165247041581358,-0.01259903756850356,-0.02959299687953852,-0.028368853108722974,-0.02668904585350113,0.009434228992109953,-0.03484223487503943,-0.04825446768873405,0.026076474118176683,-0.008416048981592969,0.011774935381270465,0.028261824463193776,0.06870735706643166,0.04905446161477933,-0.021096382454981875,0.06711368487343274,0.04542452095507818,-0.050767377940668455,0.029549364696759797,0.0508914562319939,0.10034874197613536,6.518582009633579e-17,-0.016401759991745726,-2.0080364292968388e-17,4.389661804378008e-05,-0.016003083446013727,-0.04442918411148314,0.014370458443773763,0.004186378485291291,0.006702699659775862,-0.028133700926518256,-3.255516657951296e-17,0.28703049351327375,-0.024884216925050922,-0.030592490043995845,-0.016914411040725524,0.0028009800660825715,-0.07382088818787,-0.08211938908570807,0.01554302595497287,0.004621660569849661,0.0002841536268808863,0.03293665607614661,-0.06892271201600353,-0.031133745237600447,-0.0660624853793349,-0.031834380797310574,4.618869054188215e-20,-0.007965461270199347,0.13003629837708577,-0.016024774052822197,0.0,0.02603983498598745,-0.11816267590223006,-0.18963449496161186,-0.03895292770959274,0.0,-0.013382750918238692,1718
7,2013-11-01,0.08227691768578027,0.005679744620865425,-0.0013690118177409095,-0.0002303598372792124,-0.004604410431353409,-0.0028597424265343827,-0.026584016870419513,-0.0014927338207685657,0.007753368621667494,0.016303340278701523,-6.913522484412557e-18,0.030339010153972945,-0.025608073313205214,0.011217805796543322,0.0005072195797045723,0.0039179880602203485,-0.032112333051258754,-0.037239777720056794,6.430273430076699e-17,0.029773184047172378,-0.019709195995137024,-0.010927919994816796,0.0009474558485169449,-0.03620958193816277,-0.002745440140796824,0.007576298583879253,-0.05959438820038682,-0.06182559385465214,-0.02292953206242425,0.025464037481175938,0.005590555956735226,-0.02927876776823815,0.022877186454338456,-0.025545941992161793,-0.05501772112410197,-0.0015260437769200417,0.025652387252562664,0.009442336654554212,-0.015347317495042291,-0.002898522601811348,0.03145737309256491,0.03527982881329809,0.005805601339339772,0.1449348430264396,-0.0039068976414507964,0.06915495889696699,0.017471758858243844,0.02771865869552309,-0.0745139529565961,-0.04898572237785236,-0.04759609957673246,-0.022714805058840222,-3.406353895533725e-18,-3.126316502183009e-05,3.150511396976765e-17,-0.044730814066704594,-0.01284514840224316,-0.02634177411302375,0.027116825342014535,-0.030799465846594806,0.008631266817420137,0.004721766304118283,6.346778176561591e-17,-0.05411204051070928,0.010667898788287682,0.14224944119130487,-0.042604683992554515,0.06106439589965157,0.010092790063364492,0.05750170177448423,0.0072331462678346305,-0.031053085876597948,0.02162342420854132,0.09731218221609664,0.029088100594096552,-0.05397784587640242,0.015827153324182247,-0.03167640344641728,-4.727763008743266e-18,0.012014178377704802,0.015964895679407617,-0.02498382402441951,0.0,0.0165409020915374,0.010467220993842428,0.11524678183423098,-0.0961086723064819,0.0,-0.01702033268497919,1741
8,2013-12-01,-0.025509090808166077,-0.0032140357519059976,-0.006860792299200141,0.00886491987345088,-0.002456963905030348,0.004231735433821019,0.00021211652003032266,-0.00963676593116767,-0.008075718913639951,-0.07586439657202507,-5.4982921484023137e-17,-0.07578568782486941,-0.03206847283051449,0.021029531623685423,-0.03856086813756352,-0.0012200251525127624,-0.011622453261408044,-0.019403165818649145,-8.964399103096539e-18,-0.026382809840810557,0.07636168340172628,0.026888368645613843,0.0006710719569883606,0.0346465521861665,-0.008895127650088389,0.13818324498374748,-0.040559254586308595,0.04987332147451479,-0.013810558622753417,0.044562081478320054,0.04093225536868793,0.052329291601259154,0.02039036390206731,0.058659968701392146,0.01602096412277718,0.022662901681085004,-0.024706924619034027,0.013016806344297471,-0.02219441849222923,0.01708237734940305,0.03738794092075705,2.8168642663860522e-05,0.010193822023343409,-0.03431557278543765,0.03299428681860814,-0.011606306058974175,-0.03153358237089179,-0.03249139902006167,0.04271186357863277,-0.003915752958580334,-0.01889603835295021,-0.01769690788019558,2.862499089159942e-17,-0.018027845139508624,5.5700743848407156e-18,-0.003986317839616643,0.008603839374179986,-0.030041129874906005,-0.033111814282924236,-0.01780955449487782,0.04874937578591874,-0.017109216528268547,2.4483909161367522e-17,-0.017693825056285084,-0.006535022033113921,-0.06838415913120954,-0.006314604389284752,0.008216764503178257,-0.03491765404646842,-0.029171490760107027,0.004123773878201353,-0.02635711934335548,0.05910691410162568,0.01784481160869146,-0.05687771758868487,-0.021005749668425028,-0.018770041847114657,0.004175180396107236,-5.635404017673032e-18,0.0007655343929115904,-0.025735938916455058,-0.0010882167321517784,0.0,-0.0004712314333217629,-0.01906371660917575,-0.01801112351068379,0.07348606139589,0.0,0.0048049990111886515,1750
9,2014-01-01,0.020166469142320766,-0.0007151234664991286,-0.00023659826592082114,0.0007683993763843022,-0.002790808821139702,0.032319309081547315,-0.08431614163466758,0.01072689783060255,0.0631018860175795,-0.12607137788921802,-4.833901301835324e-16,-0.11569082871973932,-0.06419532321422305,-0.06637567024347639,-0.07930497744567142,0.04419334490972602,-0.07025293329170879,-0.001853776853879975,-2.4658106930607314e-16,0.03802253494393905,-0.0762294205106244,-0.07207194818622815,-0.003343960912728622,-0.06341583877595007,-0.019369626142212486,-0.18128777434383808,-0.059611024416960624,0.038272722501474274,0.026133428169091418,0.24242987800242224,0.09740601943753462,-0.06664051722844239,-0.02830549482175175,0.020638345424714218,-0.023055542342862556,-0.04703810265688643,-0.03417904387239873,-0.022819121728822507,-0.006372754907481837,0.006842632828044553,0.01952842772773186,0.005731265526180342,-0.025640096624246343,0.0037016191904219974,0.027152027190345304,0.030002439819691806,0.0615166101645383,0.024906674405718785,-0.008530341832093074,0.006640908651778479,-0.06492863711560627,-0.03785325855759304,-9.629295028096678e-17,-0.030980248829050726,-5.938112028582792e-17,-0.06074779088536835,0.029567820895626942,0.038865348714982574,0.01378013933964491,-0.02512237956625997,-0.07555971465465276,-0.010614093824820824,8.351472088204294e-17,-0.005898809067472855,-0.01877242140379274,0.017158324208575604,0.0017597400502133917,-0.007359552275547,0.04825310303153785,0.21110617418607658,0.1602188226939183,0.011487123388195747,-0.0008997494078545609,-0.05298123344030684,-0.053742398455632175,-0.009713241154929456,0.004060146853656695,0.09825378369383567,5.194057640465509e-18,0.014899343223417506,-0.06283390680217561,0.023659975154090906,0.0,-0.008966912087579954,0.18404381606134845,0.17294139190274094,0.11730309639268242,0.0,-0.03168071505148834,1763
