,Stkcd,Trddt,SpecificVar
11,1,2014-03-01,0.003584184843557473
12,1,2014-04-01,0.0032736056991887297
13,1,2014-05-01,0.0028263886389277367
14,1,2014-06-01,0.002027844194220769
15,1,2014-07-01,0.001940757674580157
16,1,2014-08-01,0.0019104166476240842
17,1,2014-09-01,0.001800755140147151
18,1,2014-10-01,0.0007602960686454007
19,1,2014-11-01,0.0007448195505907126
20,1,2014-12-01,0.0009437314595540058
21,1,2015-01-01,0.000832186161592574
22,1,2015-02-01,0.0007452231256954226
23,1,2015-03-01,0.0005753551917839691
24,1,2015-04-01,0.0020907647063368824
25,1,2015-05-01,0.0020671105170149712
26,1,2015-06-01,0.003372068770560767
27,1,2015-07-01,0.003778413551145388
28,1,2015-08-01,0.003701295787732076
29,1,2015-09-01,0.003887098525314403
30,1,2015-10-01,0.0035842949403049693
31,1,2015-11-01,0.0034082695507813856
32,1,2015-12-01,0.0030818884892564926
33,1,2016-01-01,0.0029763177099035
34,1,2016-02-01,0.0028296796391394648
35,1,2016-03-01,0.002607452521698916
36,1,2016-04-01,0.000855778528781126
37,1,2016-05-01,0.0007890279498856211
38,1,2016-06-01,0.000503475614537198
39,1,2016-07-01,0.0005677541427083085
40,1,2016-08-01,0.0005273667988349742
41,1,2016-09-01,0.0003840976544887877
42,1,2016-10-01,0.0003680890480278038
43,1,2016-11-01,0.0003969312634702351
44,1,2016-12-01,0.00033232906936048304
56,2,2014-03-01,0.0018044881052406332
57,2,2014-04-01,0.0016979180342795953
58,2,2014-05-01,0.003027502064541127
59,2,2014-06-01,0.0025672835163621593
60,2,2014-07-01,0.0027766630304056177
61,2,2014-08-01,0.0019099122995359192
62,2,2014-09-01,0.0018433795091342383
63,2,2014-10-01,0.0018340251535506034
64,2,2014-11-01,0.00207514727628747
65,2,2014-12-01,0.0037672389703427745
66,2,2015-01-01,0.003608601670927771
67,2,2015-02-01,0.003572865889873097
68,2,2015-03-01,0.0031999037859045975
69,2,2015-04-01,0.00555466776016247
70,2,2015-05-01,0.005860181726157262
71,2,2015-06-01,0.005530868364727455
72,2,2015-07-01,0.00725055199483636
73,2,2015-08-01,0.0073177958304137146
74,2,2015-09-01,0.00709536311127213
75,2,2015-10-01,0.00723492153567961
76,2,2015-11-01,0.007806637138169357
77,2,2015-12-01,0.02065666852101149
78,2,2016-08-01,0.024099792861552487
79,2,2016-09-01,0.02187175514587072
80,2,2016-10-01,0.02038218750628442
81,2,2016-11-01,0.015194568861276023
82,2,2016-12-01,0.018363997081389447
94,6,2014-03-01,0.006002527477981326
95,6,2014-04-01,0.006612085056862901
96,6,2014-05-01,0.006432021519069123
97,6,2014-06-01,0.00608649462220292
98,6,2014-07-01,0.005838303740777346
99,6,2014-08-01,0.005894577118869441
100,6,2014-09-01,0.005648602231410897
101,6,2014-10-01,0.005376480064299644
102,6,2014-11-01,0.0033921654764382816
103,6,2014-12-01,0.0034904762171018536
104,6,2015-01-01,0.003796113030232015
105,6,2015-02-01,0.003612525929892866
106,6,2015-03-01,0.003042487955575199
107,6,2015-04-01,0.006426782553253119
108,6,2015-05-01,0.008381242000479766
109,6,2015-06-01,0.008014326207301992
110,6,2015-07-01,0.007366937145258655
111,6,2015-08-01,0.006953245241266995
112,6,2015-09-01,0.007063578363931061
113,6,2015-10-01,0.006735131795321737
114,6,2015-11-01,0.008775950884908464
115,6,2015-12-01,0.008694826170709725
116,6,2016-01-01,0.008155102064625745
117,6,2016-02-01,0.007875355455458727
118,6,2016-03-01,0.007346403475061451
119,6,2016-04-01,0.004857658360054292
120,6,2016-05-01,0.0026027803579235166
121,6,2016-06-01,0.002188892974389201
122,6,2016-07-01,0.0017751468443529723
123,6,2016-08-01,0.0016149685042825617
124,6,2016-09-01,0.003781365099159828
125,6,2016-10-01,0.0037739276270872557
126,6,2016-11-01,0.002638608582244087
127,6,2016-12-01,0.0023145920419367118
150,9,2014-03-01,0.004524744980368219
151,9,2014-04-01,0.004345018159415228
152,9,2014-05-01,0.003468777767513578
153,9,2014-09-01,0.003329794823136401
154,9,2014-10-01,0.003095513694013752
155,9,2014-11-01,0.002303622882884021
156,9,2014-12-01,0.0026498309326869
157,9,2015-01-01,0.0030228144558352315
158,9,2015-02-01,0.0028567434563834732
159,9,2015-03-01,0.0027203380709669
160,9,2015-04-01,0.005385386408352468
161,9,2015-05-01,0.01222263265023068
162,9,2015-06-01,0.011896677124671897
